"Name";"Photo";"AdmArea";"District";"Location";"RegistrationNumber";"State";"LocationType";"global_id";"geodata_center";"geoarea";
"Название объекта";"Фотография";"Административный округ по адресу";"Район";"Месторасположение";"Государственный регистрационный знак";"Состояние регистрации";"Тип места расположения";"global_id";"geodata_center";"geoarea";
""«ПОЮЩАЯ КАРУСЕЛЬ» («CIRCUS SWING»)"";""27c0fd3a-e422-4d09-b71c-ad28c5354026"";""Южный административный округ"";""район Нагатинский Затон"";""ТЕМАТИЧЕСКИЙ ПАРК РАЗВЛЕЧЕНИЙ ОСТРОВ МЕЧТЫ"";""0288-77"";""аттракцион зарегистрирован"";""торгово-развлекательный комплекс"";""2386886276"";;;
